,track_name,artist,lyrics
10,CITY OF ANGELS (feat. YUNGBLUD) - YUNGBLUD Remix,24kGoldn,"[Chorus: 24kGoldn]I sold my soul to the devil for designerThey said, ""Go to hell"", but I told 'em I don't wannaIf you know me well, then you know that I ain't goin', 'causeI don't wanna, I don't wanna, I don't wanna die youngThe city of angels where I have my funDon't wanna die youngWhen I'm gone, remember all I've done, 'one[Verse: 24kGoldn]We've had our fun, 'unBut now I'm done, 'one'Cause you crazy (Yeah), I can't take it (No)Just wanted to see you nakedHeard time like money, can't waste itWhat's the price of fame? 'Cause I can taste itSo I'm chasin' (Yeah), and I'm facin'A little Hennessy, it might be good for me[Chorus: 24kGoldn]I sold my soul to the devil for designerThey said, ""Go to hell"", but I told 'em I don't wannaIf you know me well, then you know that I ain't goin', 'causeI don't wanna, I don't wanna, I don't wanna die youngThe city of angels where I have my funDon't wanna die youngWhen I'm gone, remember all I've done, 'one"
11,This is the Place,Tom Grennan,"[Verse 1]When Monday morning's falling back aroundThe coffee's cold, it gets me downI put my hand there on the empty spaceHere in our bed, I can't replaceI picture your face hands on my waistYou've gone with no traceAnd I can't break the cycle of you in my mind, oh[Chorus]This is the place that I come to forget youThese are the nights that I drink to regret youThese are the times I know I can't replace youWish that I was somewhere elseWish that I was somewhere withThis is the place that I come to forget youThese are the nights that I drink to regret youThese are the times I know I can't replace youWish that I was somewhere elseWish that I was somewhere with youYou, you, you, you, you, youSomewhere with you, you, you, youSomewhere with you, you, you, youSomewhere with you, you, you, you, you"
12,Skechers (feat. Tyga) - Remix,DripReport,"

[Intro: DripReport]
I tried to stop, but I can't stop
I just can't stop thinking about her
I don't know, all I remember was she wear the Skechers
The light-up ones

[Chorus: DripReport & Tyga]
Shawty bad with the Skechers on
Wanna hold your hand, make you my girl
Light-up, light-up Skechers
Light up, light up my world
Shawty bad with the Skechers on
Wanna hold your hand, make you my girl
Light-up, light-up Skechers (Hah)
Light up, light up my world (Woo)

[Verse 1: Tyga]
Ayy, shawty bad with the Skechers on
Walking in the bank like: 'Honey, I'm home'
We tryna quarantine, she won't leave me alone
I got Yeezys, you got them Sketchers on (Haha)
Kicks like a hypebeast, but I don't wait in line
You got the moves when you move, when you whine
You can call me up, let it ring one time (Brrt)
1-800-Big-Vibe bling my hotline (Brrt)
I don't want to share you
Only want to wear you
Ooh, I think I like you
Skate and slide beside you (B-i-b-l-e)
I ball like Kyle Kuzma, I'm runnin' it up
She a stallion like Meg when she liftin' it up
Can I get two of you for the price of one?

[Chorus: DripReport and Tyga]
Shawty bad with the Skechers on
Wanna hold your hand, make you my girl
Light-up, light-up Skechers (Light it up)
Light up, light up my world (Light it up)
Shawty bad with the Skechers on (Shawty bad)
Wanna hold your hand, make you my girl (My girl)
Light-up, light-up Skechers (Light it up)
Light up, light up my world (Light it up)

[Verse 2: DripReport]
I like your Skechers, you like me, my Gucci shoes
I'll buy you the purse, only if you show me your boobs
I like your Skechers, you like me too
Bring your friends, all of us in the pool
Bad lil' bitch, all my drip make her drool
Brand new whip, come and sit in the coupe
I just wanna make you mine, hop inside the ride
Nina by my side, promise you it all be fine
I-I just wanna make you mine, hop inside the ride
Nina by my side, promise it's gon' be alright

[Chorus: DripReport]
Shawty bad with the Skechers on
Wanna hold your hand, make you my girl
Light-up, light-up Skechers
Light up, light up my world
Shawty bad with the Skechers on
Wanna hold your hand, make you my girl
Light-up, light-up Skechers
Light up, light up my world

"
13,Times Like These - BBC Radio 1 Stay Home Live Lounge,Live Lounge Allstars,"[Verse 1: Dua Lipa, Anne-Marie & Ellie Goulding]I, I'm a one way motorwayI'm the one that drives away, then follows you back homeAnd I, I'm a street light shinin'I'm a wild light blinding bright, burning off alone, oh-oh-oh[Chorus: Jess Glynne, Sam Fender, Mabel & Dan Smith]It's times like these you learn to live againIt's times like these we give and give againIt's times like these you learn to love againIt's times like these, time and time again, oh-oh-oh[Verse 2: Simon Neil, Rita Ora, Mike Kerr & Dermot Kennedy]I, I'm a new day risingI'm a brand new sky to hang the stars upon tonightI, I am a little dividedDo I stay or run away and leave it all behind?[Chorus: Dan Smith, Rag'n'Bone Man, Mabel, Sigrid, Ellie Goulding & Dave Grohl, Rag'n'Bone Man & Sigrid]I knowIt's times like these you learn to live againIt's times like these you give and give againIt's times like these you learn to love againIt's times like these, time and time again (Again)[Verse 3: AJ Tracey & Sean Paul]Let's go, it's times like these that we activateDo something to improve, not procrastinate (Oh)I've been cooking now, make a wicked pasta bakeStream games at 11 but I clap at eight (It's time like these)And I'll do a FaceTime if you tempt meTime to pay back what the health docs lent me (Oh)And for me West Ten's elementaryBut right now I wanna see Ladbroke Grove empty, you get me?We make it better together we'll make a better lifeBecause the pressure is ever upon us every nightAnd everyday so we pray and we will forever fightWe'll make it better together, we'll make a better life"
14,One Night (feat. Raphaella),MK,"

[Verse 1]
We go in circles, you and me
We say the same things, but never what we mean
I know that you wanna play games
But not tonight, not tonight, not tonight, please

[Pre-Chorus]
Just give me a taste, wanna know I’m alive
‘Cause I keep dancing on the edge of the knife
Almost so wrong that it’s right
Let’s forget the world for

[Chorus]
One night, one night, one night
One night, one night, one night
One night, one night, one night
One night, one night, one night

[Post-Chorus]
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night

[Verse 2]
I know that we can’t have it all
But I’d rather have this than nothing at all
And when you leave me, I’m alright
But not tonight, not tonight, not tonight

[Pre-Chorus]
Just give me a taste, wanna know I’m alive
‘Cause I keep dancing on the edge of the knife
Almost so wrong that it’s right
Let’s forget the world for

[Chorus]
One night, one night, one night
One night, one night, one night
One night, one night, one night
One night, one night, one night

[Post-Chorus]
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night

"
15,Flowers (feat. Jaykae),Nathan Dawe,"

(I'll bring you flowers in the pouring rain)

(Oh yeah) from this day until the day we throw it all away
Let's talk about it 'cause I can't do without it
Your love, means so much to me
Can't you see?
Right here, I'll always be (oh baby)

Oh by the way
Did I say that I am here to stay?
Right here beside you
I will never deny you, my love
You're everything to me
Can't you see
I'll give it to you unselfishly?

Because I need you so, oh baby
And I will never, ever let you go

I'll bring you flowers in the pouring rain
Living without you is driving me insane
I'll bring you flowers, I'll make your day
Those tears you cry, I'll dry them all away, away

I'll bring you flowers in the pouring rain
Living without you is driving me insane
I'll bring you flowers, I'll make your day
Those tears you cry, I'll dry them all away, away

Oh baby (oi Nathan!)
Always be, oh baby (oh yeah)
Did I say?
Oh baby
Always, be

Yo roses are red and violets are blue
You was on me and I was on you
Met this girl inside the venue
Michelin star I like the menu (oh baby)
Yeah I took her out, the night was on me
Might want you yeah if you want me
Didn't get home 'til quarter past three
You can get a son and daughter off me
Yeah, I got you purple flowers and green
We can stay up all night and get lean
I can give thing's to you that you dream
Might go halves on a brand new team (oh baby)
And I'll stand in the pouring rain for ya
And I'll change my stupid ways for ya
Cuz your love sends me crazier
Just never ever let me go

I'll bring you flowers in the pouring rain
Living without you is driving me insane
I'll bring you flowers, they'll make your day
Those tears you cry, I'll dry them all away, away

Never, never, never
Never gonna leave you, leave you
I'll be on you need too, need too
Never gonna leave you, leave you
I'll be on you need too, need too
Never gonna leave you, leave you
I'll be on you need too, need too
Never gonna leave you, leave you
I'll be on you need too, need too, oh

Oh, I'll bring you flowers, oh baby

Oh, yeah, yeah, uh-huh

I'll bring you flowers in the pouring rain
Living without you is driving me insane
I'll bring you flowers, they'll make your day
Those tears you cry, I'll dry them all away, away

Never, never, never
Never gonna leave you, leave you
I'll be on you need too, need too
Never gonna leave you, leave you
I'll be on you need too, need too
Never gonna leave you, leave you (roses are red, red)
I'll be on you need too, need too (violets are blue, blue)
Never gonna leave you, leave you (you was on me, me)
I'll be on you need too, need too, oh (and I was on you)

"
16,My Oh My (feat. DaBaby),Camila Cabello,"

Coming soon (when released). Source comes from someone who works with Camila

"
17,The Other Side (from Trolls World Tour),SZA,"[Intro]O-O-Ovy On The Drums[Verse 1: SZA]You're preachin’ to the choir, stop hatin' on yourselfQuit playin' with your mind, you’re spinnin'If you think that I'm a liar, just try it for yourselfThe clouds will open up, blue skies are willingYeah, I know it's so hard to throw awayThe clouds will open up, blue skies are willing[Chorus: SZA & Justin Timberlake]Back on your feet again, lift your head, hold it highYou wanna run it back, but you can't turn the timeYou start to feel like you're losing your shineBut the grass ain't always greener on the other sideThe other sideGot you stuck in your mindYou start to feel like you're losing your shineBut the grass ain’t always greener on the other side[Verse 2: Justin Timberlake & SZA]Hey you, stop stressin’ 'bout what you’re missin'So blue, just take it easy, take your timeIf you think my words are wise, just try it for yourselfI promise the stars will light the path you walk, don't give inGot a heart of gold, what a shame to go to wasteThe clouds will open up, blue skies are willing"
18,Blinding Lights,The Weeknd,"

[Intro]
Yeah

[Verse 1]
I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

[Pre-Chorus]
I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

[Verse 2]
I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh

[Pre-Chorus]
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

[Bridge]
I'm just coming back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey
Hey, hey, hey

[Outro]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch

"
19,Break My Heart,Dua Lipa,"

[Verse 1]
I've always been the one to say the first goodbye
Had to love and lose a hundred million times
Had to get it wrong to know just what I like
Now I'm falling
You say my name like I have never heard before
I'm indecisive, but, this time, I know for sure
I hope I'm not the only one that feels it all
Are you falling?

[Pre-Chorus]
Centre of attention
You know you can get whatever you want from me
Whenever you want it, baby
It's you in my reflection
I'm afraid of all the things it could do to me
If I would've known it, baby

[Chorus]
I would've stayed at home
'Cause I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?
Oh no, I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?

[Verse 2]
I wonder, when you go, if I stay on your mind
Two can play that game, but you win me every time
Everyone before you was a waste of time
Yeah, you got me

[Pre-Chorus]
Centre of attention
You know you can get whatever you want from me
Whenever you want it, baby
It's you in my reflection
I'm afraid of all the things it could do to me
If I would've known it, baby

[Chorus]
I would've stayed at home
'Cause I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home (I would've stayed at home 'cause I–)
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?
Oh no, I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?

[Bridge]
Ooh, break my heart
Ooh, break my heart
Ooh
Am I falling in love with the one that could break my heart?

[Chorus]
I would've stayed at home
'Cause I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home (I would've stayed at home 'cause I–)
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?
Oh no (Oh no), I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?

"
20,Always,Waze & Odyssey,"

[Intro]
Do-do-do-do, oh
Do-do-do-do, oh
Do-do-do-do, oh
Do-do-do-do

[Chorus]
Always (Until the rainbow burns the stars out of the sky)
Always (Until the ocean covers every mountain high)
Mm, ooh, I said it's gonna be always (Until the day that eight, times eight, times eight is four)
Ooh, ooh, you know it's gonna be always (Until the day that it' s the day that I'm no more)
(Until the rainbow burns the stars out of the sky)
Always (Until the ocean covers every mountain high)
Mm, ooh, I said it's gonna be always (Until the day that eight, times eight, times eight is four)
You know it's gonna be always (Until the day that it's the day that I'm no more)

[Verse]
Did you know that true love asks for nothing?
Her acceptance is the way we pay (Ooh)
Now I know deep in my mind
The love of me I've left behind
Now I know deep in my mind
The love of me I've left behind
Now I know deep in my mind
The love of me I've left behind
And I'll be lovin' you always

[Chorus]
Lovin' you until the rainbow burns the stars out of the sky
Lovin' you until the ocean covers every mountain high
Lovin' you until the dolphins fly and parrots live at sea
Lovin' you until we dream of life and life becomes a dream
Now ain't that lovin' you?
Until the ocean covers every mountain high
Lovin' you until the dolphins fly and parrots live at sea
Lovin' you until we dream of life and life becomes a dream
Now ain't that lovin' you?
(Until the day is night and night becomes the day)
Oh babe
(Until the ocean covers every mountain high)
Ooh, I said it's gonna be always
(Until the day that eight, times eight, times eight is four)
Ooh, ooh, you know it's gonna be always
(Until the day that it's the day that I'm no more)

[Bridge]
Always, yeah
Always, yeah
Always, yeah
Always, yeah
Always, yeah
Always, yeah
Always, yeah
Always, yeah
Always, yeah

[Outro]
(Until the rainbow burns the stars out of the sky)
Always, yeah
(Until the ocean covers every mountain high)
Always, yeah
(Until the day is night and night becomes the day)
Always, yeah
(Until the day that it's the day that I'm no more)

"
21,24,Arizona Zervas,"

[Intro]
Take-take it easy word to 94 (Skrrt, skrrt)

[Chorus]
I got twenty-four hours, twenty-four hours
Twenty-four hoes in the hotel tower
Twenty-four bitches on the guest list, yeah
Twenty-four carats on my necklace, yeah
Twenty-four hours, twenty-four hours
Twenty-four hoes in the hotel tower
Twenty-four bitches on the guest list, yeah
Twenty-four carats on my necklace, yeah

[Verse]
Ballin' like I'm Kobe (Swish), 2-4 on my jersey
I stay with the homies, they pop out if you hurt me
I might cop a Rollie, for all the hoes who curved me
When I pull up swervin', that's that Lamborghini Mercy
I might do the dash, goin' fast in the coupe (In the coupe)
I've been gettin' cash, all my racks lookin' blue (Lookin' blue)
Chains gon' splash, when I smash in the pool
Yeah, I don't take no nap, I be stackin' two to two
I'm mixin' with the cup, she just put somethin' in my water
Three shots ain't enough, my shorty pour me up stronger
We just got the addy and she on one too
We pull up with baddies to the hotel room

[Chorus]
I got twenty-four hours, twenty-four hours
Twenty-four hoes in the hotel tower
Twenty-four bitches on the guest list, yeah (Guest list, yeah)
Twenty-four carats on my necklace, yeah (Necklace, yeah)
Twenty-four hours, twenty-four hours
Twenty-four hoes in the hotel tower
Twenty-four bitches on the guest list, yeah (Guest list, yeah)
Twenty-four carats on my necklace, yeah (Necklace, yeah)

[Outro]
Twenty-four hours, twenty-four hours
Twenty-four hours, twenty-four hours, yeah
Woo

"
22,ROCKSTAR (feat. Roddy Ricch),DaBaby,"[Intro: DaBaby]Woo, wooI pull up likeHow you pull up, Baby? How you pull up? (Oh, oh, oh)How you pull up? I pull up (Woo, Seth in the kitchen)[Chorus: DaBaby]Let's goBrand new Lamborghini, fuck a cop carWith the pistol on my hip like I'm a cop (Yeah, yeah, yeah)Have you ever met a real nigga rockstar?This ain't no guitar, bitch, this a Glock (Woo)My Glock told me to promise you gon' squeeze me (Woo)You better let me go the day you need me (Woo)Soon as you up me on that nigga, get to bustin' (Woo)And if I ain't enough, go get the chop[Verse 1: DaBaby]It's safe to say I earned it, ain't a nigga gave me nothin' (Yeah, yeah, yeah)I'm ready to hop out on a nigga, get to bustin'Know you heard me say, ""You play, you lay,"" don't make me push the buttonFull of pain, dropped enough tears to fill up a fuckin' bucketGoin' for buckets, I bought a chopperI got a big drum, it hold a hundred, ain't goin' for nothin'I'm ready to air it out on all these niggas, I can see 'em runnin'Just talked to my mama, she hit me on FaceTime just to check up on me and my brotherI'm really the baby, she know that her youngest son was always guaranteed to get the money (Okay, let's go)She know that her baby boy was always guaranteed to get the lootShe know what I do, she know 'fore I run from a nigga, I'ma pull it out and shoot (Boom)PTSD, I'm always waking up in cold sweats like I got the fluMy daughter a G, she saw me kill a nigga in front of her before the age of twoAnd I'll kill another nigga too'Fore I let another nigga do somethin' to youLong as you know that, don't let nobody tell you differentDaddy love you (Yeah, yeah)"
23,We Got Love,Sigala,"[Verse 1]Mm, you can run away from it allBut like a boomerangIt'll all come backYou can hang on until you fallBut even when you landYou'll be on your back[Pre-Chorus]Like mannequins all draped in designersHave we forgotten where we come from?With bottled hopes and dreams and desiresMust have forgotten that[Chorus]We got bills to payWe got rules to breakWe got risks to takeWe got things to sayNo one ever saidIt would be okayBut we'll find a wayWhen there's loveAnd we got love(Ah, ah)"
